Site_Number,Site_Name,Gridreference,Easting,Northing,Length,Country,N_sections,N_yrs_surveyed,First_year_surveyed,Last_year_surveyed,Survey_type,lat,lon
1,Woodwalton Farm,TL214817,521400,281700,2038.0,England,12.0,48,1976,2023,UKBMS,52.41982676326132,-0.21628151779709795
3,Holkham,TF873453,587300,345300,3454.0,England,6.0,46,1976,2023,UKBMS,52.97232539937356,0.7879129699846625
4,Monks Wood,TL198801,519800,280100,2900.0,England,14.0,51,1973,2023,UKBMS,52.40580189067323,-0.24036920633174588
6,Yarner Wood,SX782787,278200,78700,3133.0,England,11.0,47,1976,2023,UKBMS,50.59528069690221,-3.722226810101831
8,Old Winchester Hill,SU645208,464500,120800,1792.0,England,10.0,48,1976,2023,UKBMS,50.983001957894224,-1.0825265527385335
10,Oxwich,SS511877,251100,187700,4020.0,Wales,13.0,46,1976,2023,UKBMS,51.56845656809093,-4.149805161901293
12,Leigh Marshes,TQ827851,582700,185100,1776.0,England,8.0,43,1976,2023,UKBMS,51.53523595690673,0.6328515296107379
14,Gomm Valley,SU896921,489600,192100,1219.0,England,9.0,46,1977,2023,UKBMS,51.620600236530606,-0.7071613156075899
15,Foxholes,SP251204,425100,220400,2909.0,England,5.0,47,1976,2022,UKBMS,51.881602709513025,-1.6367575791548727
16,Swanage,SZ020811,402000,81100,3397.0,England,15.0,46,1976,2023,UKBMS,50.629595924714145,-1.9730842266661082
17,Buttlers Hanging,SU817961,481700,196100,1158.0,England,10.0,25,1976,2023,UKBMS,51.65775825750654,-0.8203137715166255
19,Studland Heath,SZ025850,402500,85000,3665.0,England,14.0,48,1976,2023,UKBMS,50.66466594677289,-1.9659898683114412
21,Castor Hanglands,TF118018,511800,301800,1624.0,England,8.0,49,1974,2023,UKBMS,52.60249379574746,-0.35063127647755993
24,Dyfi,SN609937,260900,293700,2414.0,Wales,5.0,45,1976,2023,UKBMS,52.523368283609756,-4.051682327671509
25,Chippenham Fen,TL646694,564600,269400,3255.0,England,8.0,47,1976,2023,UKBMS,52.29806432243726,0.4124002800792352
26,Rostherne Mere,SJ743841,374300,384100,5360.0,England,15.0,32,1976,2023,UKBMS,53.35315420847381,-2.387561504971336
27,Holme Fen,TL202892,520200,289200,4438.0,England,8.0,47,1974,2023,UKBMS,52.48748441181583,-0.23121951050770906
29,Aston Rowant (N),SU725970,472500,197000,3400.0,England,10.0,47,1976,2023,UKBMS,51.66710914050089,-0.9531003847321102
30,Aston Rowant (S),SU723964,472300,196400,2367.0,England,10.0,48,1976,2023,UKBMS,51.6617410404954,-0.9561156646299872
31,Waterperry Wood,SP608097,460800,209700,1760.0,England,10.0,43,1976,2022,UKBMS,51.78266839439443,-1.1200371739858297
32,Wye & Crundale Down,TR077450,607700,145000,1950.0,England,12.0,43,1976,2023,UKBMS,51.16652131572042,0.9694331167081806
34,Potton Wood,TL252501,525200,250100,3960.0,England,9.0,45,1974,2023,UKBMS,52.135024091442624,-0.1721554278212518
36,Bure Marshes,TG336164,633600,316400,1671.0,England,12.0,48,1976,2023,UKBMS,52.69485542324484,1.4555291191950712
37,Upper Teesdale,NY882283,388200,528300,1411.0,England,7.0,44,1976,2023,UKBMS,54.64966256279286,-2.1843878404731583
39,Saltfleetby,TF472915,547200,391500,2929.0,England,12.0,45,1977,2023,UKBMS,53.399804647844945,0.21253489368612433
42,Ben Lawers,NN614392,261400,739200,3432.0,Scotland,6.0,43,1977,2023,UKBMS,56.5243382289233,-4.254662046910413
44,Radipole Lake,SY672799,367200,79900,1649.0,England,6.0,34,1977,2023,UKBMS,50.617878682330655,-2.4649892917729366
45,Gibralter Point,TF556580,555600,358000,4570.0,England,12.0,47,1974,2023,UKBMS,53.09652291424604,0.3224096995974931
47,Skomer,SM730093,173000,209300,3012.0,Wales,9.0,40,1977,2023,UKBMS,51.736318110831725,-5.2890464663548515
48,Hampstead Heath,TQ270863,527000,186300,1856.0,England,11.0,44,1977,2023,UKBMS,51.56128928929442,-0.16928390714695518
51,Loch Garten,NH971165,297100,816500,3645.0,Scotland,11.0,42,1977,2023,UKBMS,57.22762552985789,-3.705998619983847
54,Nagshead,SO601090,360100,209000,3428.0,England,10.0,40,1977,2023,UKBMS,51.77823501220361,-2.579738424462164
61,Insh Marshes,NH814018,281400,801800,3482.0,Scotland,13.0,45,1977,2023,UKBMS,57.09185343491666,-3.95888669615894
62,Northward Hill,TQ785765,578500,176500,1998.0,England,9.0,40,1977,2023,UKBMS,51.45932973628391,0.5680134170012393
65,Woodwalton Fen,TL231840,523100,284000,3940.0,England,7.0,43,1978,2023,UKBMS,52.44011394594786,-0.19045072907361188
69,Holme Dunes,TF712448,571200,344800,2035.0,England,8.0,45,1978,2023,UKBMS,52.97321350767942,0.5481509313704211
71,Castle Hill,TQ371068,537100,106800,2739.0,England,12.0,45,1978,2023,UKBMS,50.844487937166896,-0.054014982279274204
72,Gait Barrows,SD478772,347800,477200,1400.0,England,9.0,46,1978,2023,UKBMS,54.18789902354456,-2.801433008818138
81,South Stack Cliffs,SH210818,221000,381800,3256.0,Wales,13.0,7,1979,2023,UKBMS,53.30281973544479,-4.687741936287653
82,South Stack Ranges,SH216803,221600,380300,2290.0,Wales,13.0,24,1979,2023,UKBMS,53.28955386794843,-4.67790523970258
83,Pewsey Down,SU116636,411600,163600,2017.0,England,6.0,43,1979,2023,UKBMS,51.371342320698176,-1.8347447050284622
84,Ampfield Wood,SU411237,441100,123700,1532.0,England,11.0,45,1979,2023,UKBMS,51.011219650431165,-1.4155245350840984
85,Derbyshire Dales,SK180659,418000,365900,4770.0,England,11.0,45,1979,2023,UKBMS,53.189888367584075,-1.7320657777602935
86,Alresford,SU575335,457500,133500,3868.0,England,12.0,45,1979,2023,UKBMS,51.0979312200149,-1.1802227250352009
89,West Dean Wood,SU846155,484600,115500,2282.0,England,15.0,41,1979,2022,UKBMS,50.9327545765359,-0.7974780097806923
92,Murlough,J410350,150060,489998,4794.0,Northern Ireland,15.0,45,1979,2023,UKBMS,54.244464622230815,-5.837797150314391
93,Martin Down,SU056183,405600,118300,2696.0,England,12.0,45,1979,2023,UKBMS,50.964095795032556,-1.9216300942210174
95,Wyre Forest,SO755766,375500,276600,2600.0,England,15.0,45,1979,2023,UKBMS,52.38687461779226,-2.3614064705305235
96,Coombes Valley,SK006529,400600,352900,2168.0,England,15.0,26,1979,2023,UKBMS,53.07333227458471,-1.992496336421123
97,Lullington Heath,TQ545017,554500,101700,3886.0,England,15.0,44,1979,2023,UKBMS,50.79427896681961,0.19080439595928667
102,Pickett Wood,ST876544,387600,154400,1194.0,England,5.0,43,1981,2023,UKBMS,51.28859707476626,-2.1791993497880333
104,Barnack Hills & Holes,TF076045,507600,304500,1669.0,England,10.0,40,1981,2023,UKBMS,52.62760380453244,-0.41174286596257614
106,RSPB Blean Woods,TR112601,611200,160100,4400.0,England,15.0,42,1982,2023,UKBMS,51.30082888328094,1.0283156604136876
111,St Osyth,TM117176,611700,217600,2151.0,England,9.0,40,1983,2023,UKBMS,51.8169129764527,1.0700716196779938
112,Luckett Wood,SX391726,239100,72600,1665.0,England,14.0,43,1980,2023,UKBMS,50.53099293735163,-4.271610846472167
113,Stour Wood,TM191313,619100,231300,3910.0,England,12.0,40,1983,2023,UKBMS,51.937048622442305,1.185948296742309
115,Oakley Woods,SP615114,461500,211400,2549.0,England,9.0,35,1985,2023,UKBMS,51.79787492173177,-1.1095903752912468
116,Taynish,NR731843,173100,684300,3894.0,Scotland,12.0,35,1985,2023,UKBMS,55.997813641546735,-5.640276984785284
117,Whitecross Green Wood,SP602144,460200,214400,1853.0,England,11.0,37,1986,2022,UKBMS,51.82498593033265,-1.1279190707785642
118,Ham Street Wood,TR006342,600600,134200,3038.0,England,13.0,28,1986,2023,UKBMS,51.07206078580158,0.8620142282119955
119,Folkestone Escarpment,TR217381,621700,138100,3663.0,England,15.0,35,1987,2023,UKBMS,51.099320981284805,1.1651212422800625
128,Smardale Gill,NY725066,372500,506600,3173.0,England,11.0,29,1989,2023,UKBMS,54.45403872201061,-2.425656617517527
129,Mottistone Down,SZ416845,441600,84500,1590.0,England,8.0,34,1989,2023,UKBMS,50.658696733485655,-1.4128353642102705
130,Church Place,SU342099,434200,109900,2088.0,England,15.0,33,1989,2023,UKBMS,50.887580495689356,-1.5151666879087982
131,Pitts Wood,SU200149,420000,114900,3030.0,England,7.0,13,1989,2023,UKBMS,50.93320520579759,-1.7167646162720942
133,Tadnoll,SY791875,379100,87500,3370.0,England,10.0,35,1989,2023,UKBMS,50.68677310445504,-2.297217036767947
134,Bovey Valley,SX783797,278300,79700,1600.0,England,8.0,34,1989,2023,UKBMS,50.60429037065434,-3.721142577204705
135,East Blean Woods,TR193643,619300,164300,3627.0,England,15.0,29,1989,2023,UKBMS,51.33547721522577,1.1469084722073677
136,Somerford Common,SU028864,402800,186400,3249.0,England,13.0,30,1989,2023,UKBMS,51.576458371748565,-1.960989921039015
139,Blean Woods,TR114608,611400,160800,2005.0,England,15.0,32,1991,2023,UKBMS,51.30704012991172,1.0315947910014152
143,Loch Fleet,NH814964,281400,896400,3128.0,Scotland,8.0,27,1993,2023,UKBMS,57.941087273151275,-4.004962807094547
146,St Cyrus (new),NO749640,374900,764000,3600.0,Scotland,15.0,37,1983,2023,UKBMS,56.76691148867058,-2.4122249146574686
153,Brodick Country Park,NS019382,201900,638200,1801.0,Scotland,13.0,26,1995,2023,UKBMS,55.596998730605016,-5.145721361790528
155,Shabbington Wood (new),SP611102,461100,210200,3260.0,England,10.0,28,1995,2023,UKBMS,51.787130754764306,-1.1156010184904779
156,Denge Wood,TR106513,610600,151300,1462.0,England,10.0,28,1993,2023,UKBMS,51.222032648833896,1.0145440874040872
158,Fontmell Down (new),ST885180,388500,118000,3809.0,England,14.0,44,1980,2023,UKBMS,50.96130713378115,-2.165120515623726
160,Mabie Forest,NX927703,292700,570300,3500.0,Scotland,11.0,24,1995,2023,UKBMS,55.015637229479964,-3.6796059448324026
161,Bishop Middleham Quarry,NZ332327,433200,532700,2225.0,England,14.0,24,1997,2022,UKBMS,54.68825788234167,-1.486512298506877
163,Blackford Hill,NT254703,325400,670300,3206.0,Scotland,13.0,19,1999,2023,UKBMS,55.919975764608374,-3.1952363232530465
165,Sands of Forvie (new),NK010260,401000,826000,3655.0,Scotland,7.0,25,1999,2023,UKBMS,57.32454826432093,-1.9850387500662934
166,Great Orme,SH764827,276400,382700,4476.0,Wales,15.0,24,1999,2023,UKBMS,53.326740114112226,-3.8572824176867924
172,Grange Farm (North) A,TL330627,533000,262700,2879.0,England,20.0,23,2000,2023,UKBMS,52.246417356837306,-0.05332118037312549
173,Grange Farm (South),TL332623,533200,262300,2574.0,England,15.0,23,2000,2023,UKBMS,52.24277499077277,-0.05055109454319175
174,St. Abb's Head,NT913687,391300,668700,4068.0,Scotland,10.0,24,1999,2023,UKBMS,55.91132034050632,-2.1407471498526256
175,Lochaber,NX922699,292200,569900,2661.0,Scotland,11.0,12,2000,2023,UKBMS,55.01193617078764,-3.6872707861195084
178,Cheriton Hill,TR200381,620000,138100,1304.0,England,9.0,24,1992,2023,UKBMS,51.09997526336512,1.1408796807935728
179,Grange Farm (North) B,TL331620,533100,262000,2900.0,England,10.0,23,2000,2023,UKBMS,52.24010362039227,-0.052132844488504096
182,Glasdrum,NN000450,200000,745000,2500.0,Scotland,11.0,19,2002,2022,UKBMS,56.55426194018986,-5.255695029180097
184,Cavenham Heath,TL754725,575400,272500,3315.0,England,10.0,20,2003,2023,UKBMS,52.322566834598575,0.5722263815726096
188,Wootton Coppice,SZ247995,424700,99500,2100.0,England,7.0,18,2004,2023,UKBMS,50.79454287075108,-1.650917959243368
190,Tentsmuir Point North Revised,NO499276,349900,727600,2900.0,Scotland,8.0,19,2005,2023,UKBMS,56.43791177088771,-2.8140967365409564
192,Morton Lochs,NO463268,346300,726800,2900.0,Scotland,9.0,19,2004,2023,UKBMS,56.43032860186501,-2.8723077096095757
193,Hengistbury Head,SZ175905,417500,90500,3803.0,England,14.0,45,1979,2023,UKBMS,50.713870770682156,-1.7534969057161942
195,Tentsmuir Point South Revised,NO500270,350000,727000,1700.0,Scotland,7.0,18,2006,2023,UKBMS,56.4325325183852,-2.812360180858226
991,Porton Down,SU247367,424700,136700,2700.0,England,15.0,28,1994,2023,UKBMS,51.129050038468755,-1.6484041992927854
993,Moor House,NY751332,375100,533200,1919.0,England,10.0,31,1993,2023,UKBMS,54.69321655247173,-2.3878208102115805
994,Wytham,SP464096,446400,209600,4794.0,England,13.0,31,1993,2023,UKBMS,51.78314582357768,-1.3287770545032431
995,North Wyke,SX660985,266000,98500,4738.0,England,15.0,30,1993,2023,UKBMS,50.77056346159058,-3.9016824046468495
999,Alice Holt,SU801399,480100,139900,1930.0,England,4.0,30,1994,2023,UKBMS,51.15276162977767,-0.8561121091769729
1001,Stockbridge Down,SU382348,438200,134800,1500.0,England,15.0,38,1983,2023,UKBMS,51.11122728734375,-1.4556912732157359
1002,Ashford Hangers 1,SU742268,474200,126800,2000.0,England,11.0,24,1987,2023,UKBMS,51.03577960605725,-0.9431418050179714
1004,Badminston Common,SU460020,446000,102000,2190.0,England,10.0,25,1993,2023,UKBMS,50.81572780011116,-1.3484124374169548
1005,Beacon Hill,SU603227,460300,122700,1400.0,England,10.0,43,1980,2023,UKBMS,51.000539720264996,-1.1420361988178291
1006,Bentley Station Meadow,SU794430,479400,143000,950.0,England,3.0,31,1993,2023,UKBMS,51.18072871123313,-0.8654350974016086
1007,Bonchurch Down,SZ5733678652,457336,78652,650.0,England,9.0,31,1993,2023,UKBMS,50.60477844758155,-1.191136760972552
1009,Claylands,SU547181,454700,118100,1600.0,England,8.0,28,1996,2023,UKBMS,50.95973766312672,-1.2225246282956959
1010,Farlington Marshes Route A,SU688047,468800,104700,1420.0,England,5.0,26,1993,2023,UKBMS,50.83774881204941,-1.0243097231612805
1014,Lower Test Marshes,SU364149,436400,114900,3729.0,England,11.0,33,1991,2023,UKBMS,50.93240654594344,-1.4833945748675348
1016,Magdalen Hill Down,SU503292,450300,129200,1950.0,England,10.0,34,1990,2023,UKBMS,51.05994358298295,-1.2836334729820467
1017,Magdalen Hill Down extension,SU515292,451500,129200,1600.0,England,8.0,28,1996,2023,UKBMS,51.0598374349954,-1.2665118682058458
