Site_Number,Site_Name,Gridreference,Easting,Northing,Length,Country,N_sections,N_yrs_surveyed,First_year_surveyed,Last_year_surveyed,Survey_type,lat,lon
1,Woodwalton Farm,TL214817,521400,281700,2038.0,England,12.0,48,1976,2023,UKBMS,52.41982676326132,-0.21628151779709795
2,Bevill's Wood,TL203794,520300,279400,1532.0,England,10.0,44,1974,2017,UKBMS,52.399402254331356,-0.2332743140038471
3,Holkham,TF873453,587300,345300,3454.0,England,6.0,46,1976,2023,UKBMS,52.97232539937356,0.7879129699846625
4,Monks Wood,TL198801,519800,280100,2900.0,England,14.0,51,1973,2023,UKBMS,52.40580189067323,-0.24036920633174588
5,Monks Wood Fields,TL200800,520000,280000,,England,15.0,3,1974,1976,UKBMS,52.40485953307798,-0.2374665380431892
6,Yarner Wood,SX782787,278200,78700,3133.0,England,11.0,47,1976,2023,UKBMS,50.59528069690221,-3.722226810101831
7,Brockwell's Farm,ST469897,346900,189700,812.0,Wales,7.0,10,1976,1985,UKBMS,51.60362162747823,-2.7681077540582466
8,Old Winchester Hill,SU645208,464500,120800,1792.0,England,10.0,48,1976,2023,UKBMS,50.983001957894224,-1.0825265527385335
9,Kingley Vale,SU822105,482200,110500,6289.0,England,15.0,44,1976,2021,UKBMS,50.88814862405157,-0.8327480513614532
10,Oxwich,SS511877,251100,187700,4020.0,Wales,13.0,46,1976,2023,UKBMS,51.56845656809093,-4.149805161901293
11,Rhinog,SH661280,266100,328000,2269.0,Wales,6.0,5,1976,1980,UKBMS,52.832832289936256,-3.9890436912410547
12,Leigh Marshes,TQ827851,582700,185100,1776.0,England,8.0,43,1976,2023,UKBMS,51.53523595690673,0.6328515296107379
13,Craig y Cilau,SO189161,318900,216100,3521.0,Wales,3.0,18,1976,1997,UKBMS,51.83759553591969,-3.17847987230888
14,Gomm Valley,SU896921,489600,192100,1219.0,England,9.0,46,1977,2023,UKBMS,51.620600236530606,-0.7071613156075899
15,Foxholes,SP251204,425100,220400,2909.0,England,5.0,47,1976,2022,UKBMS,51.881602709513025,-1.6367575791548727
16,Swanage,SZ020811,402000,81100,3397.0,England,15.0,46,1976,2023,UKBMS,50.629595924714145,-1.9730842266661082
17,Buttlers Hanging,SU817961,481700,196100,1158.0,England,10.0,25,1976,2023,UKBMS,51.65775825750654,-0.8203137715166255
18,Woodhurst,TL315755,531500,275500,2303.0,England,13.0,10,1976,1985,UKBMS,52.3617872211124,-0.07028408080493515
19,Studland Heath,SZ025850,402500,85000,3665.0,England,14.0,48,1976,2023,UKBMS,50.66466594677289,-1.9659898683114412
20,Ham Street Woods,TR008346,600800,134600,1711.0,England,15.0,9,1976,1985,UKBMS,51.07558325099783,0.8650872179999926
21,Castor Hanglands,TF118018,511800,301800,1624.0,England,8.0,49,1974,2023,UKBMS,52.60249379574746,-0.35063127647755993
22,Coedydd Maentwrog,SH667414,266700,341400,2099.0,Wales,12.0,9,1976,1985,UKBMS,52.953365923710955,-3.9856400191497108
23,Ebbor Gorge,ST528488,352800,148800,2294.0,England,8.0,33,1976,2009,UKBMS,51.2364183208781,-2.6774638020746853
24,Dyfi,SN609937,260900,293700,2414.0,Wales,5.0,45,1976,2023,UKBMS,52.523368283609756,-4.051682327671509
25,Chippenham Fen,TL646694,564600,269400,3255.0,England,8.0,47,1976,2023,UKBMS,52.29806432243726,0.4124002800792352
26,Rostherne Mere,SJ743841,374300,384100,5360.0,England,15.0,32,1976,2023,UKBMS,53.35315420847381,-2.387561504971336
27,Holme Fen,TL202892,520200,289200,4438.0,England,8.0,47,1974,2023,UKBMS,52.48748441181583,-0.23121951050770906
28,Walberswick,TM478739,647800,273900,3577.0,England,10.0,35,1976,2014,UKBMS,52.30725401132503,1.6336054529563362
29,Aston Rowant (N),SU725970,472500,197000,3400.0,England,10.0,47,1976,2023,UKBMS,51.66710914050089,-0.9531003847321102
30,Aston Rowant (S),SU723964,472300,196400,2367.0,England,10.0,48,1976,2023,UKBMS,51.6617410404954,-0.9561156646299872
31,Waterperry Wood,SP608097,460800,209700,1760.0,England,10.0,43,1976,2022,UKBMS,51.78266839439443,-1.1200371739858297
32,Wye & Crundale Down,TR077450,607700,145000,1950.0,England,12.0,43,1976,2023,UKBMS,51.16652131572042,0.9694331167081806
33,Roudsea Wood (old),SD330820,333000,482000,,England,15.0,2,1977,1978,UKBMS,54.229308643297934,-3.0292706868538106
34,Potton Wood,TL252501,525200,250100,3960.0,England,9.0,45,1974,2023,UKBMS,52.135024091442624,-0.1721554278212518
35,Stow Longa,TL117701,511700,270100,1506.0,England,5.0,2,1976,1977,UKBMS,52.31764889148488,-0.3627095362568313
36,Bure Marshes,TG336164,633600,316400,1671.0,England,12.0,48,1976,2023,UKBMS,52.69485542324484,1.4555291191950712
37,Upper Teesdale,NY882283,388200,528300,1411.0,England,7.0,44,1976,2023,UKBMS,54.64966256279286,-2.1843878404731583
38,Avon Gorge (old),ST550730,355000,173000,,England,11.0,1,1976,1976,UKBMS,51.454181811035205,-2.6490212248326
39,Saltfleetby,TF472915,547200,391500,2929.0,England,12.0,45,1977,2023,UKBMS,53.399804647844945,0.21253489368612433
40,Tregarron Bog,SN687625,268700,262500,3649.0,Wales,3.0,1,1977,1977,UKBMS,52.24497326021596,-3.924553315969569
41,Vane Farm,NT159988,315900,698800,2253.0,Scotland,6.0,20,1977,2009,UKBMS,56.17439709150272,-3.356153107093424
42,Ben Lawers,NN614392,261400,739200,3432.0,Scotland,6.0,43,1977,2023,UKBMS,56.5243382289233,-4.254662046910413
43,Leighton Moss,SD482750,348200,475000,5922.0,England,15.0,38,1977,2015,UKBMS,54.16816932190543,-2.7949245154478732
44,Radipole Lake,SY672799,367200,79900,1649.0,England,6.0,34,1977,2023,UKBMS,50.617878682330655,-2.4649892917729366
45,Gibralter Point,TF556580,555600,358000,4570.0,England,12.0,47,1974,2023,UKBMS,53.09652291424604,0.3224096995974931
46,Hatton Green,SP220670,422000,267000,,England,15.0,2,1977,1978,UKBMS,52.300686292925775,-1.6788011447151843
47,Skomer,SM730093,173000,209300,3012.0,Wales,9.0,40,1977,2023,UKBMS,51.736318110831725,-5.2890464663548515
48,Hampstead Heath,TQ270863,527000,186300,1856.0,England,11.0,44,1977,2023,UKBMS,51.56128928929442,-0.16928390714695518
49,Inverpolly,NC080133,208000,913300,3469.0,Scotland,13.0,14,1977,1990,UKBMS,58.0670560964982,-5.256670487431621
50,Swale,TR03606750,603600,167500,,England,8.0,2,1977,1978,UKBMS,51.37004777398856,0.9236742460649074
51,Loch Garten,NH971165,297100,816500,3645.0,Scotland,11.0,42,1977,2023,UKBMS,57.22762552985789,-3.705998619983847
52,Avon Gorge 1,ST560733,356000,173300,5761.0,England,11.0,6,1976,1981,UKBMS,51.456957911701075,-2.6346678087589117
53,Avon Gorge 2,ST558736,355800,173600,3786.0,England,11.0,22,1977,1999,UKBMS,51.459639581281344,-2.6375837463179774
54,Nagshead,SO601090,360100,209000,3428.0,England,10.0,40,1977,2023,UKBMS,51.77823501220361,-2.579738424462164
55,Loch Lomond,NS432879,243200,687900,2034.0,Scotland,10.0,9,1977,1985,UKBMS,56.05817988270835,-4.519713542653609
56,Harting Down,SU760170,476000,117000,,England,6.0,2,1976,1977,UKBMS,50.9474363769931,-0.9195226177645303
57,Tynllan,SJ050160,305000,316000,,Wales,14.0,3,1977,1979,UKBMS,52.73326181232333,-3.4083576913343028
58,Kingston Hill Farm,SP409005,440900,200500,3272.0,England,15.0,2,1977,1978,UKBMS,51.701759195176884,-1.4095684029763018
59,Weeting Heath,TL758875,575800,287500,3037.0,England,6.0,31,1977,2016,UKBMS,52.45715339347708,0.5859542058727565
60,Lindisfarne,NU100435,410000,643500,3000.0,England,6.0,43,1977,2019,UKBMS,55.684879062756146,-1.8425213492823247
61,Insh Marshes,NH814018,281400,801800,3482.0,Scotland,13.0,45,1977,2023,UKBMS,57.09185343491666,-3.95888669615894
62,Northward Hill,TQ785765,578500,176500,1998.0,England,9.0,40,1977,2023,UKBMS,51.45932973628391,0.5680134170012393
63,Fairburn Ings,SE461276,446100,427600,4087.0,England,5.0,1,1977,1977,UKBMS,53.74274879884289,-1.302511999954508
64,Skokholm,SM738051,173800,205100,1270.0,Wales,10.0,24,1977,2004,UKBMS,51.69894063865509,-5.274753052963745
65,Woodwalton Fen,TL231840,523100,284000,3940.0,England,7.0,43,1978,2023,UKBMS,52.44011394594786,-0.19045072907361188
66,Tentsmuir Point,NO502270,350200,727000,4187.0,Scotland,10.0,19,1978,1996,UKBMS,56.43255370945402,-2.809117505591719
67,Carnforth Marsh,SD480724,348000,472400,2384.0,England,9.0,7,1978,1984,UKBMS,54.14478404713868,-2.7975381257585097
68,Minsmere,TM467673,646700,267300,3287.0,England,12.0,1,1978,1978,UKBMS,52.2485312250581,1.6126799394451086
69,Holme Dunes,TF712448,571200,344800,2035.0,England,8.0,45,1978,2023,UKBMS,52.97321350767942,0.5481509313704211
70,Newborough Warren,SH416641,241600,364100,2141.0,Wales,15.0,17,1978,1994,UKBMS,53.15041777820627,-4.3701048428430616
71,Castle Hill,TQ371068,537100,106800,2739.0,England,12.0,45,1978,2023,UKBMS,50.844487937166896,-0.054014982279274204
72,Gait Barrows,SD478772,347800,477200,1400.0,England,9.0,46,1978,2023,UKBMS,54.18789902354456,-2.801433008818138
73,Wart Barrow,SD392768,339200,476800,1372.0,England,4.0,18,1978,1996,UKBMS,54.183355506267674,-2.933124199298301
74,Howe Park Wood,SP840340,484000,234000,,England,14.0,3,1978,1980,UKBMS,51.998100059584104,-0.7778875945168688
75,Tuddenham Heath,TL740720,574000,272000,,England,5.0,1,1978,1978,UKBMS,52.318521428702674,0.5514478911863201
76,Wicken Fen,TL558704,555800,270400,3647.0,England,15.0,28,1979,2006,UKBMS,52.30961152874962,0.28392689155733425
77,Morton Lochs,NO462265,346200,726500,2958.0,Scotland,10.0,18,1979,1996,UKBMS,56.42762229058532,-2.8738670969976967
78,Morrone Birkwood,NO136905,313600,790500,3776.0,Scotland,8.0,21,1979,2000,UKBMS,56.997552570842686,-3.4238236932615678
79,St Cyrus,NO748640,374800,764000,3423.0,Scotland,15.0,14,1979,1994,UKBMS,56.76690606829685,-2.4138607573867334
80,Warren Farm,TR030490,603000,149000,,England,12.0,2,1979,1980,UKBMS,51.20412891202924,0.9045593131166774
81,South Stack Cliffs,SH210818,221000,381800,3256.0,Wales,13.0,7,1979,2023,UKBMS,53.30281973544479,-4.687741936287653
82,South Stack Ranges,SH216803,221600,380300,2290.0,Wales,13.0,24,1979,2023,UKBMS,53.28955386794843,-4.67790523970258
83,Pewsey Down,SU116636,411600,163600,2017.0,England,6.0,43,1979,2023,UKBMS,51.371342320698176,-1.8347447050284622
84,Ampfield Wood,SU411237,441100,123700,1532.0,England,11.0,45,1979,2023,UKBMS,51.011219650431165,-1.4155245350840984
85,Derbyshire Dales,SK180659,418000,365900,4770.0,England,11.0,45,1979,2023,UKBMS,53.189888367584075,-1.7320657777602935
86,Alresford,SU575335,457500,133500,3868.0,England,12.0,45,1979,2023,UKBMS,51.0979312200149,-1.1802227250352009
87,Sands of Forvie,NK019266,401900,826600,5674.0,Scotland,10.0,21,1979,1999,UKBMS,57.32993527970891,-1.9700891776783596
89,West Dean Wood,SU846155,484600,115500,2282.0,England,15.0,41,1979,2022,UKBMS,50.9327545765359,-0.7974780097806923
90,Roe Valley Country Park,NS030790,203000,679000,,Scotland,9.0,1,1979,1979,UKBMS,55.96348114078364,-5.15778555641081
91,Woods Mill,TQ217135,521700,113500,1422.0,England,14.0,38,1979,2017,UKBMS,50.90815107087578,-0.27041397049292054
92,Murlough,J410350,150060,489998,4794.0,Northern Ireland,15.0,45,1979,2023,UKBMS,54.244464622230815,-5.837797150314391
93,Martin Down,SU056183,405600,118300,2696.0,England,12.0,45,1979,2023,UKBMS,50.964095795032556,-1.9216300942210174
94,Cwm Risca Farm,SS876850,287600,185000,2748.0,Wales,15.0,1,1979,1979,UKBMS,51.55265496557083,-3.622563437391703
95,Wyre Forest,SO755766,375500,276600,2600.0,England,15.0,45,1979,2023,UKBMS,52.38687461779226,-2.3614064705305235
96,Coombes Valley,SK006529,400600,352900,2168.0,England,15.0,26,1979,2023,UKBMS,53.07333227458471,-1.992496336421123
97,Lullington Heath,TQ545017,554500,101700,3886.0,England,15.0,44,1979,2023,UKBMS,50.79427896681961,0.19080439595928667
98,Erisey Barton,SW710170,171000,17000,,England,13.0,3,1980,1982,UKBMS,50.0090554635308,-5.197465898966453
99,Moor Farm,TF222637,522200,363700,2097.0,England,11.0,29,1974,2007,UKBMS,53.15641846499037,-0.1739300856928819
100,Ynys Hir,SN680960,268000,296000,5267.0,Wales,15.0,27,1981,2007,UKBMS,52.54580054599235,-3.9480147660387246
101,Newton Links,NU230266,423000,626600,2441.0,England,9.0,38,1981,2019,UKBMS,55.53259254621948,-1.6371726212192423
102,Pickett Wood,ST876544,387600,154400,1194.0,England,5.0,43,1981,2023,UKBMS,51.28859707476626,-2.1791993497880333
103,Inverpolly,NC080130,208000,913000,,Scotland,9.0,1,1981,1981,UKBMS,58.06436594224101,-5.256425345287268
104,Barnack Hills & Holes,TF076045,507600,304500,1669.0,England,10.0,40,1981,2023,UKBMS,52.62760380453244,-0.41174286596257614
106,RSPB Blean Woods,TR112601,611200,160100,4400.0,England,15.0,42,1982,2023,UKBMS,51.30082888328094,1.0283156604136876
107,Batch Farm,SO887118,388700,211800,761.0,England,13.0,24,1982,2005,UKBMS,51.80472394988906,-2.1652880025216943
108,Morris' Wood,TQ550330,555000,133000,2025.0,England,15.0,12,1982,1993,UKBMS,51.07539726341871,0.21119503486718122
109,Yardley Hill,TQ380950,538000,195000,,England,15.0,1,1982,1982,UKBMS,51.63688481886197,-0.007276711083232305
110,Pynes Farmhouse,ST448281,344800,128100,953.0,England,7.0,11,1983,1993,UKBMS,51.04958180527707,-2.7888631291155592
111,St Osyth,TM117176,611700,217600,2151.0,England,9.0,40,1983,2023,UKBMS,51.8169129764527,1.0700716196779938
112,Luckett Wood,SX391726,239100,72600,1665.0,England,14.0,43,1980,2023,UKBMS,50.53099293735163,-4.271610846472167
