Site_Number,Site_Name,Gridreference,Easting,Northing,Length,Country,N_sections,N_yrs_surveyed,First_year_surveyed,Last_year_surveyed,Survey_type,lat,lon,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
1,Woodwalton Farm,TL214817,521400,281700,2038.0,England,12.0,48,1976,2023,UKBMS,52.41982676326132,-0.2162815177970979,-0.33783996,-0.6756799,-1.640937,1.640937,-1.8822513,4.005817,-0.53089136,-0.7239428,0.53089136,3.8610282,-4.7780223,-2.2683542,-4.3919196,-1.9787769,-0.14478856,1.0617827,-4.3919196,5.598491,0.09652571,-3.6679769,-0.09652571,2.4131427,-0.33783996,1.2548342,5.7915425,-0.57915425,-5.839805,1.7857256,-1.9305141,-0.77220565,-1.1100457,2.3648798,-3.5231884,-1.3996228,-1.2065713,-2.3648798,0.14478856,1.9305141,-2.0753026,0.28957713,3.233611,-1.8339884,1.4961485,2.0270398,-0.7239428,0.96525705,0.57915425,-4.1988683,0.38610283,-4.922811,-1.2548342,-2.7027197,-0.7239428,1.8339884,3.7162397,3.1370854,1.7374628,1.8822513,3.8610282,-4.4884453,0.57915425,-0.7239428,1.3996228,-0.19305141,-3.619714,-3.7645025,-2.5579312,1.7857256,1.640937,5.260651,1.3996228,3.0888226,0.14478856,2.5579312,-1.640937,0.48262852,-1.5444113,-3.4749255,2.3648798,5.1158624,3.5231884,0.6274171,0.048262853,0.96525705,2.7027197,3.909291,4.584971,-6.129382,-2.2683542,0.33783996,3.281874,-0.48262852,0.6756799,-1.6891998,-0.77220565,-2.0270398,-3.1370854,-3.9575539,1.4478856,-1.0135199,2.4131427,2.1235654,-1.1583085,-0.6756799,0.6274171,2.6544569,-6.0811195,-0.6274171,4.8262854,-0.6274171,0.9169942,5.598491,0.6274171,-3.9575539,4.295394,3.5231884,-2.0270398,-0.53089136,-4.150605,-4.4401827,-1.640937,-2.944034,0.38610283,-1.9305141,-0.77220565,2.2200913,3.5714512,1.9305141
3,Holkham,TF873453,587300,345300,3454.0,England,6.0,46,1976,2023,UKBMS,52.97232539937356,0.7879129699846625,7.0729704,-1.2630304,-2.778667,2.0208488,1.8524446,-2.778667,-2.2734547,-10.693658,-0.2526061,6.736162,-0.16840406,1.1788284,-0.16840406,0.16840406,-2.2734547,-0.67361623,1.0946264,3.8732934,-1.5156366,-3.1154752,0.8420203,4.6311116,-2.4418588,-2.6102629,0.0,-0.16840406,-0.16840406,2.862869,-4.1258993,-0.42101014,-1.8524446,0.5052122,-3.1154752,-2.1050508,3.0312731,0.5052122,0.5894142,-4.2943034,-5.557334,0.2526061,-1.0104244,-6.399354,2.1892529,-1.3472325,1.6840405,-0.7578183,2.0208488,-2.2734547,-1.3472325,-6.9045663,2.0208488,-5.304728,0.2526061,-0.08420203,5.4731317,-1.0946264,0.7578183,2.1892529,1.6840405,0.33680812,2.947071,-0.5052122,-0.2526061,2.0208488,3.1154752,-2.6102629,-1.5998385,3.0312731,1.2630304,1.0104244,1.3472325,0.0,-0.67361623,-2.1892529,-0.08420203,-4.7153134,2.2734547,-2.947071,3.0312731,-5.136324,-3.0312731,-0.7578183,-7.2413745,-0.5052122,-1.9366467,2.947071,2.862869,-4.1258993,-2.6102629,0.5894142,-0.67361623,-0.08420203,-4.2943034,-2.4418588,3.5364852,5.304728,-3.283879,0.7578183,3.5364852,-1.0946264,-0.67361623,-3.0312731,-1.4314345,-2.778667,0.42101014,4.5469093,-0.2526061,0.33680812,4.2943034,-0.7578183,-0.8420203,3.368081,1.0104244,-2.778667,1.6840405,2.778667,-3.8732934,0.42101014,0.16840406,-4.2101016,-0.5894142,-1.0104244,0.7578183,0.42101014,-1.9366467,-1.5998385,3.7890913,0.5052122
4,Monks Wood,TL198801,519800,280100,2900.0,England,14.0,51,1973,2023,UKBMS,52.40580189067323,-0.2403692063317458,2.4936883,-0.047050726,-1.035116,3.4817536,-1.5056232,0.0,-3.5288045,-1.6467754,-1.3644711,2.211384,-2.5407393,-2.2584348,-2.6818914,-5.975442,-1.5526739,1.7879276,2.0231812,3.1994493,-1.2233188,-3.4347029,2.7759929,0.9410145,-3.1994493,-0.42345652,2.399587,1.7408768,-1.3174204,1.882029,-0.84691304,-1.7408768,-2.399587,0.28230435,-1.1762681,3.3406014,3.1994493,1.5997247,4.281616,-0.6116594,-0.3293551,-1.6467754,1.1292174,-4.7521234,0.3764058,-2.4936883,-0.6116594,-1.1762681,2.8230436,0.9410145,-0.7998623,-2.399587,2.1643333,0.7057609,-0.7057609,1.0821667,5.787239,-0.42345652,1.7408768,0.6116594,5.4108334,-0.47050726,3.1994493,-1.8349783,-0.8939638,-0.23525363,0.7998623,0.3764058,-5.0344276,0.47050726,3.8111088,3.7170074,0.9410145,-1.9761305,1.0821667,1.7879276,-1.5526739,1.6938261,2.4466376,0.7057609,2.0231812,-1.7408768,1.2233188,-1.1292174,4.5168695,-4.3757176,2.3525362,-2.0231812,4.7050724,-4.140464,1.5056232,0.517558,-3.5288045,3.6699567,1.6467754,-3.4817536,-0.5646087,2.4936883,0.8939638,-4.140464,5.4108334,-2.1172826,-4.940326,-0.517558,1.1292174,1.6467754,1.0821667,4.8932753,-2.2584348,-0.98806524,4.0463624,1.0821667,2.6348407,-2.6818914,-1.1762681,-3.4347029,5.599036,2.070232,-2.5407393,-1.8349783,0.1882029,-5.2226305,-2.917145,-4.3286667,-1.2233188,-0.7998623,-3.8111088,-3.0582972,2.5407393,0.5646087
6,Yarner Wood,SX782787,278200,78700,3133.0,England,11.0,47,1976,2023,UKBMS,50.59528069690221,-3.722226810101831,2.0254173,1.0995123,-3.8772275,4.6873946,0.23147628,2.0254173,-2.8355844,-0.52082163,1.2731196,2.1990247,-2.9513226,0.1736072,-2.3147628,-4.8031325,-0.6944288,2.604108,-0.5786907,5.3818235,-1.7360721,-1.6203339,2.0254173,2.2568936,-1.678203,0.0,3.9929657,0.3472144,-1.5624648,3.1249297,1.2731196,-2.9513226,-3.0670607,3.1827989,-2.0254173,1.9675484,0.1736072,1.0416433,1.6203339,-2.0254173,-1.3888576,0.11573814,1.0995123,-2.430501,-0.1736072,-0.6365598,-2.8934534,0.23147628,4.5716567,3.9929657,0.0,-3.5300133,1.2152505,-0.52082163,-0.40508348,3.0091915,4.108704,1.8518102,5.5554304,1.7939411,4.4559183,1.7360721,3.298537,-1.5624648,3.4721441,0.11573814,-0.23147628,-0.3472144,-3.7036204,1.2152505,4.224442,2.604108,-0.11573814,-3.4142752,2.8934534,1.1573814,-2.2568936,-0.28934535,0.7522979,-2.1411555,0.05786907,-1.3888576,0.0,-2.3726318,4.6873946,-4.4559183,2.8934534,-3.0670607,5.4396925,-3.5300133,2.9513226,0.5786907,-4.3980494,1.5624648,-1.3888576,-3.1827989,1.2152505,-0.3472144,1.7360721,-5.034609,2.604108,0.11573814,-7.349372,0.5786907,2.1990247,2.1411555,1.3309886,4.97674,-2.430501,-3.2406678,3.7036204,0.7522979,7.1178956,-0.1736072,-0.23147628,-1.3309886,4.5716567,1.2731196,-2.7777152,-3.2406678,1.0995123,-4.4559183,-2.8355844,-2.1990247,-1.1573814,-1.0995123,-0.11573814,-1.1573814,2.8355844,0.11573814
8,Old Winchester Hill,SU645208,464500,120800,1792.0,England,10.0,48,1976,2023,UKBMS,50.983001957894224,-1.0825265527385337,2.4511926,-2.801363,-1.4006815,6.793305,0.5602726,-3.3616354,0.14006814,-0.4902385,0.63030666,0.70034075,0.0,-0.84040886,-1.8208859,-3.6417718,2.3111243,1.3306473,-0.42020443,1.7508518,-2.030988,-3.7818398,4.061976,3.081499,-1.1905792,-0.2801363,-0.5602726,1.6808177,-3.2916014,-0.42020443,1.5407495,3.3616354,1.960954,-1.4707155,1.5407495,1.1205451,-0.5602726,1.2606133,1.3306473,-0.07003407,-0.91044295,-2.5912607,3.011465,-4.9724193,4.2020445,1.5407495,-3.921908,1.7508518,4.7623167,0.91044295,1.8208859,-0.980477,0.980477,0.63030666,-2.6612947,2.030988,3.7118058,-1.8208859,-1.6808177,1.0505111,2.5912607,1.8208859,0.91044295,0.21010222,4.7623167,-1.2606133,-2.2410903,-5.0424533,0.5602726,0.84040886,1.7508518,3.7118058,1.6808177,-2.5912607,3.011465,2.5912607,-1.8208859,0.0,0.35017037,-2.6612947,2.1010222,-0.2801363,2.801363,-3.2916014,-0.7703748,-1.7508518,5.0424533,-0.980477,2.2410903,-5.67276,0.21010222,4.061976,-0.2801363,3.7118058,-3.7118058,-0.7703748,-0.35017037,0.21010222,0.70034075,-1.1205451,4.5522146,2.871397,-0.42020443,2.6612947,2.5212266,0.7703748,3.2215674,8.894327,-2.1710563,-3.9919422,1.1205451,2.1710563,2.2410903,1.6107837,-1.8208859,-1.1205451,3.3616354,1.960954,-2.941431,0.2801363,0.91044295,-5.3926234,-0.35017037,-0.21010222,-3.2916014,-2.3811584,-2.3111243,-0.2801363,3.011465,-1.0505111
10,Oxwich,SS511877,251100,187700,4020.0,Wales,13.0,46,1976,2023,UKBMS,51.56845656809093,-4.149805161901293,3.3140647,-1.4295965,-1.1696699,2.0144315,-0.38988996,-1.6895232,-2.9241748,-1.4295965,1.2996333,0.19494498,-0.45487162,-0.97472495,-0.90974325,-3.833918,-1.7545049,2.1443949,2.5342848,5.393478,-2.7942114,-2.1443949,4.808643,2.4043214,-1.1046883,-0.45487162,2.7292297,1.4945782,-1.0397066,2.3393397,-0.06498166,2.4693031,-1.4945782,0.64981663,-0.7797799,2.3393397,3.0541382,1.3646148,0.45487162,-2.5342848,-3.4440281,-2.7292297,3.1191196,-6.693111,-0.19494498,-0.97472495,-0.38988996,0.19494498,1.4945782,-0.64981663,0.06498166,-0.7797799,-1.1696699,0.64981663,-1.3646148,0.58483493,4.2887897,1.3646148,-3.249083,1.2996333,2.9241748,-2.2093766,1.4945782,-3.3140647,1.0397066,-1.3646148,0.38988996,0.90974325,-2.3393397,-0.25992665,1.4945782,3.249083,-0.58483493,-1.9494499,3.833918,1.2346516,-2.1443949,0.32490832,1.6245415,0.8447616,2.0144315,0.64981663,0.12996332,-0.7147983,2.859193,-5.3284965,2.6642482,-4.6786795,3.0541382,-5.393478,1.4295965,3.7689364,-5.5234413,2.2093766,-1.9494499,-4.028863,-0.12996332,-0.06498166,-0.64981663,-4.028863,6.173258,-1.3646148,-1.9494499,-0.06498166,1.0397066,1.2996333,1.0397066,8.252671,0.12996332,1.4295965,1.4295965,2.7292297,0.0,-1.1696699,-0.7797799,-1.4945782,5.913331,1.7545049,-1.9494499,0.64981663,-1.4945782,-3.0541382,0.5198533,-2.6642482,-0.32490832,-2.4693031,-1.4945782,-2.2743583,1.8194865,0.45487162
12,Leigh Marshes,TQ827851,582700,185100,1776.0,England,8.0,43,1976,2023,UKBMS,51.53523595690673,0.6328515296107379,-1.2608548,0.42028496,-1.8012213,6.0641117,-0.7805292,0.12008142,-0.7805292,2.7618725,0.30020353,-0.36024424,-1.020692,-2.5217097,-4.5630937,-0.42028496,1.0807327,1.9213027,-0.8405699,5.343623,0.60040706,-1.8012213,2.9419947,3.302239,-2.8219132,2.881954,1.5610584,2.041384,-5.163501,2.041384,-1.020692,1.7411805,-0.7204885,-1.5610584,-1.020692,0.54036635,-4.082768,-1.0807327,0.96065134,0.12008142,-2.641791,-3.4223204,0.06004071,-4.382972,0.18012212,4.2628903,-1.5610584,4.8032565,1.861262,-1.7411805,-1.5610584,-1.861262,-0.7805292,-3.4223204,-0.60040706,2.461669,6.184193,-0.36024424,2.8219132,0.96065134,4.8032565,-1.2008141,-0.54036635,1.3208956,1.020692,2.1614654,-0.9006106,-2.9419947,-0.9006106,1.5010177,1.0807327,3.3622797,1.2008141,1.020692,3.1221168,1.8012213,-2.5217097,-0.8405699,-0.6604478,0.48032567,2.1614654,0.8405699,1.3208956,-2.5217097,-2.7618725,0.06004071,4.2028494,0.24016283,4.683175,-7.62517,-1.1407734,2.3415875,1.7411805,2.041384,-0.9006106,0.96065134,-1.3208956,-2.881954,0.9006106,-3.902646,3.062076,-0.48032567,1.5010177,1.3809363,1.3208956,-1.020692,0.9006106,6.0641117,-2.8219132,-2.461669,1.3208956,-0.8405699,0.54036635,2.5817504,1.6210991,-4.6231346,5.8839893,2.9419947,-4.2028494,0.48032567,-3.062076,-5.523745,0.18012212,-3.2421982,-1.0807327,0.9006106,-3.8426054,-1.7411805,4.2028494,-2.221506
14,Gomm Valley,SU896921,489600,192100,1219.0,England,9.0,46,1977,2023,UKBMS,51.620600236530606,-0.7071613156075899,5.537289,-0.9771687,1.6286144,3.5829518,1.4890189,-2.373124,-3.5829518,-0.51185024,2.7453787,0.18612736,-1.8147418,0.18612736,-1.3959552,-1.7216781,0.27919105,2.326592,1.1167642,4.8858433,-3.210697,-1.4890189,5.630353,1.6751463,-2.931506,1.0237005,0.60491395,0.27919105,-1.2098279,3.3502927,-1.3959552,3.0711014,-1.3494234,1.4890189,-0.51185024,3.6760154,1.1167642,0.13959552,-0.32572287,-1.5820826,-2.7919104,-4.978907,4.141334,-4.373993,1.4890189,2.652315,-1.6286144,1.5355507,4.5135884,-2.047401,1.7216781,-2.6988468,-2.6988468,-0.2326592,-1.5355507,1.4890189,4.746248,0.51185024,-4.3274612,2.5127194,3.9086747,-0.27919105,1.163296,-1.4890189,3.0711014,-1.7216781,-0.60491395,-1.4890189,-1.5820826,-0.09306368,2.0008693,1.2563597,-0.32572287,-0.5583821,3.9552064,1.3494234,-0.32572287,-0.27919105,0.13959552,1.4890189,4.141334,-1.2098279,1.6751463,-3.1641653,-2.1404648,-1.9078054,2.2335284,-2.373124,2.8384423,-5.909544,0.8375732,4.420525,-3.3968244,2.4661875,0.09306368,-1.8147418,-0.09306368,-0.04653184,-0.88410497,-3.6760154,4.420525,1.0702324,-0.6979776,1.6751463,-0.18612736,1.7682099,0.88410497,5.909544,-3.0245697,-1.7682099,1.5820826,2.5127194,0.04653184,1.7682099,1.6286144,0.6979776,3.3037608,1.5355507,-2.2335284,-0.18612736,-2.2800603,-2.7453787,-0.32572287,-2.373124,0.88410497,-2.2800603,-4.6066523,-0.13959552,1.5355507,-1.2563597
15,Foxholes,SP251204,425100,220400,2909.0,England,5.0,47,1976,2022,UKBMS,51.881602709513025,-1.6367575791548727,6.089146,1.7290168,-1.9545407,4.5104785,-0.22552393,2.0297153,-6.765718,-0.97727036,1.3531436,2.4055886,-1.4283183,-0.075174645,-3.157335,-3.833907,-1.8041915,3.6835575,-0.45104787,3.4580336,0.30069858,-2.4807632,3.0821605,2.4055886,-3.608383,-1.2027943,3.4580336,1.3531436,-1.2027943,4.3601294,0.97727036,0.0,-4.9615264,0.3758732,-4.1346054,0.97727036,-1.277969,0.60139716,1.277969,-2.330414,-2.7062871,-1.5034928,0.8269211,-3.7587323,-1.6538422,0.3758732,-1.2027943,0.15034929,2.4807632,1.7290168,-3.0069857,-2.7062871,-1.3531436,-0.3758732,1.1276196,2.6311126,2.555938,3.5332084,3.157335,2.0297153,4.660828,-2.781462,2.4055886,-0.075174645,-0.45104787,-0.60139716,0.7517464,3.0069857,-3.2325096,-0.45104787,2.555938,1.5034928,-0.97727036,-2.330414,2.7062871,0.97727036,-2.0297153,-1.7290168,-0.30069858,-0.15034929,-0.15034929,-1.8793662,-2.931811,-0.6765718,6.164321,-3.7587323,1.3531436,-1.3531436,3.833907,-4.435304,1.4283183,0.0,-2.4807632,0.90209574,0.0,-2.555938,0.22552393,1.3531436,0.0,-4.9615264,4.0594306,2.330414,-7.5174646,-0.7517464,1.052445,1.4283183,0.5262225,6.840893,1.9545407,-0.7517464,4.5856533,-0.60139716,5.713273,-1.5786675,-1.1276196,-2.7062871,9.54718,1.8793662,-3.6835575,-3.7587323,1.4283183,-2.10489,-0.30069858,-4.8111773,-0.7517464,-0.3758732,-2.1800647,-0.90209574,1.2027943,0.60139716
16,Swanage,SZ020811,402000,81100,3397.0,England,15.0,46,1976,2023,UKBMS,50.629595924714145,-1.973084226666108,5.5247064,0.046819545,-2.9028118,4.962872,3.1837292,-3.09009,-4.635135,-0.7491127,2.1068795,-0.515015,1.7791427,2.668714,1.03003,-0.8427518,3.9328418,5.946082,-2.1068795,2.1068795,-4.9160523,-5.243789,5.4310675,1.2641277,1.0768496,-0.88957137,0.0,0.14045864,-2.8559923,3.5114658,-1.8727818,0.7491127,-1.3109473,1.2641277,-3.6519246,1.4045863,0.8427518,1.3109473,-1.7791427,-4.822413,-2.996451,-2.06006,1.545045,-3.1837292,-0.8427518,2.2005186,-0.515015,1.545045,5.384248,-3.1369095,-0.46819544,-4.9160523,-3.3710072,1.8259623,-0.8427518,2.668714,1.8727818,3.09009,-3.8860223,2.2005186,4.401037,2.7155337,0.6086541,-3.277368,4.4946766,-1.1236691,0.65547365,-2.2941577,0.0,1.3577669,1.7323232,0.18727818,-2.3409772,-0.7491127,1.2173082,3.277368,2.575075,-4.0264807,-2.6218946,-2.06006,2.2941577,0.32773682,-3.5114658,-0.4213759,-0.515015,0.4213759,2.2473383,-3.4646463,2.481436,-3.605105,1.7323232,1.7323232,-3.09009,1.6855036,-1.7791427,-4.1669397,1.03003,1.9196013,1.03003,-1.3109473,3.4646463,3.5582855,-5.056511,2.3877969,-0.65547365,-0.37455636,-0.37455636,5.571526,2.9028118,0.5618346,0.70229316,0.14045864,1.3109473,3.7923832,4.4946766,0.18727818,4.822413,-0.5618346,-2.0132403,2.2005186,-2.3877969,-2.481436,1.1236691,-2.8091726,2.996451,2.1068795,-2.3877969,-1.1704886,4.213759,0.46819544
