Site_Number,Site_Name,Gridreference,Easting,Northing,Length,Country,N_sections,N_yrs_surveyed,First_year_surveyed,Last_year_surveyed,Survey_type
1,Woodwalton Farm,TL214817,521400,281700,2038,England,12,48,1976,2023,UKBMS
2,Bevill's Wood,TL203794,520300,279400,1532,England,10,44,1974,2017,UKBMS
3,Holkham,TF873453,587300,345300,3454,England,6,46,1976,2023,UKBMS
4,Monks Wood,TL198801,519800,280100,2900,England,14,51,1973,2023,UKBMS
5,Monks Wood Fields,TL200800,520000,280000,,England,15,3,1974,1976,UKBMS
6,Yarner Wood,SX782787,278200,78700,3133,England,11,47,1976,2023,UKBMS
7,Brockwell's Farm,ST469897,346900,189700,812,Wales,7,10,1976,1985,UKBMS
8,Old Winchester Hill,SU645208,464500,120800,1792,England,10,48,1976,2023,UKBMS
9,Kingley Vale,SU822105,482200,110500,6289,England,15,44,1976,2021,UKBMS
10,Oxwich,SS511877,251100,187700,4020,Wales,13,46,1976,2023,UKBMS
11,Rhinog,SH661280,266100,328000,2269,Wales,6,5,1976,1980,UKBMS
12,Leigh Marshes,TQ827851,582700,185100,1776,England,8,43,1976,2023,UKBMS
13,Craig y Cilau,SO189161,318900,216100,3521,Wales,3,18,1976,1997,UKBMS
14,Gomm Valley,SU896921,489600,192100,1219,England,9,46,1977,2023,UKBMS
15,Foxholes,SP251204,425100,220400,2909,England,5,47,1976,2022,UKBMS
16,Swanage,SZ020811,402000,81100,3397,England,15,46,1976,2023,UKBMS
17,Buttlers Hanging,SU817961,481700,196100,1158,England,10,25,1976,2023,UKBMS
18,Woodhurst,TL315755,531500,275500,2303,England,13,10,1976,1985,UKBMS
19,Studland Heath,SZ025850,402500,85000,3665,England,14,48,1976,2023,UKBMS
20,Ham Street Woods,TR008346,600800,134600,1711,England,15,9,1976,1985,UKBMS
21,Castor Hanglands,TF118018,511800,301800,1624,England,8,49,1974,2023,UKBMS
22,Coedydd Maentwrog,SH667414,266700,341400,2099,Wales,12,9,1976,1985,UKBMS
23,Ebbor Gorge,ST528488,352800,148800,2294,England,8,33,1976,2009,UKBMS
24,Dyfi,SN609937,260900,293700,2414,Wales,5,45,1976,2023,UKBMS
25,Chippenham Fen,TL646694,564600,269400,3255,England,8,47,1976,2023,UKBMS
26,Rostherne Mere,SJ743841,374300,384100,5360,England,15,32,1976,2023,UKBMS
27,Holme Fen,TL202892,520200,289200,4438,England,8,47,1974,2023,UKBMS
28,Walberswick,TM478739,647800,273900,3577,England,10,35,1976,2014,UKBMS
29,Aston Rowant (N),SU725970,472500,197000,3400,England,10,47,1976,2023,UKBMS
30,Aston Rowant (S),SU723964,472300,196400,2367,England,10,48,1976,2023,UKBMS
31,Waterperry Wood,SP608097,460800,209700,1760,England,10,43,1976,2022,UKBMS
32,Wye & Crundale Down,TR077450,607700,145000,1950,England,12,43,1976,2023,UKBMS
33,Roudsea Wood (old),SD330820,333000,482000,,England,15,2,1977,1978,UKBMS
34,Potton Wood,TL252501,525200,250100,3960,England,9,45,1974,2023,UKBMS
35,Stow Longa,TL117701,511700,270100,1506,England,5,2,1976,1977,UKBMS
36,Bure Marshes,TG336164,633600,316400,1671,England,12,48,1976,2023,UKBMS
