name|grid|country|nyrs|first|last|type|lat|lon|x|y|p_ukbms
Woodwalton Farm|TL214817|England|48|1976|2023|UKBMS|52.4198|-0.2163|7.978|1.773|0.2372
Holkham|TF873453|England|46|1976|2023|UKBMS|52.9723|0.7879|-2.795|1.143|0.8676
Monks Wood|TL198801|England|51|1973|2023|UKBMS|52.4058|-0.2404|-0.804|-1.665|0.9606
Yarner Wood|SX782787|England|47|1976|2023|UKBMS|50.5953|-3.7222|-0.069|-3.070|0.9565
Old Winchester Hill|SU645208|England|48|1976|2023|UKBMS|50.9830|-1.0825|3.523|3.591|0.9680
Oxwich|SS511877|Wales|46|1976|2023|UKBMS|51.5685|-4.1498|1.042|1.267|0.9621
Leigh Marshes|TQ827851|England|43|1976|2023|UKBMS|51.5352|0.6329|5.490|3.191|0.8279
Gomm Valley|SU896921|England|46|1977|2023|UKBMS|51.6206|-0.7072|4.421|1.205|0.9353
Foxholes|SP251204|England|47|1976|2022|UKBMS|51.8816|-1.6368|0.126|-3.370|0.8464
Swanage|SZ020811|England|46|1976|2023|UKBMS|50.6296|-1.9731|3.312|-0.955|0.5866
Buttlers Hanging|SU817961|England|25|1976|2023|UKBMS|51.6578|-0.8203|9.969|1.124|0.0991
Studland Heath|SZ025850|England|48|1976|2023|UKBMS|50.6647|-1.9660|-0.899|2.484|0.9292
Castor Hanglands|TF118018|England|49|1974|2023|UKBMS|52.6025|-0.3506|2.344|-1.004|0.9413
Dyfi|SN609937|Wales|45|1976|2023|UKBMS|52.5234|-4.0517|0.291|5.859|0.5701
Chippenham Fen|TL646694|England|47|1976|2023|UKBMS|52.2981|0.4124|0.746|-1.476|0.9811
Rostherne Mere|SJ743841|England|32|1976|2023|UKBMS|53.3532|-2.3876|-2.810|5.442|0.6093
Holme Fen|TL202892|England|47|1974|2023|UKBMS|52.4875|-0.2312|-0.876|-2.471|0.9127
Aston Rowant (N)|SU725970|England|47|1976|2023|UKBMS|51.6671|-0.9531|3.748|3.596|0.9550
Aston Rowant (S)|SU723964|England|48|1976|2023|UKBMS|51.6617|-0.9561|1.491|-1.739|0.8418
Waterperry Wood|SP608097|England|43|1976|2022|UKBMS|51.7827|-1.1200|1.312|-0.281|0.8433
Wye & Crundale Down|TR077450|England|43|1976|2023|UKBMS|51.1665|0.9694|-0.031|-1.422|0.8499
Potton Wood|TL252501|England|45|1974|2023|UKBMS|52.1350|-0.1722|-0.695|-2.254|0.9066
Bure Marshes|TG336164|England|48|1976|2023|UKBMS|52.6949|1.4555|0.109|-1.013|0.9800
Upper Teesdale|NY882283|England|44|1976|2023|UKBMS|54.6497|-2.1844|1.272|-0.491|0.8957
Saltfleetby|TF472915|England|45|1977|2023|UKBMS|53.3998|0.2125|-0.900|1.690|0.9516
Ben Lawers|NN614392|Scotland|43|1977|2023|UKBMS|56.5243|-4.2547|-0.235|2.211|0.3155
Radipole Lake|SY672799|England|34|1977|2023|UKBMS|50.6179|-2.4650|1.874|-0.282|0.8888
Gibralter Point|TF556580|England|47|1974|2023|UKBMS|53.0965|0.3224|6.384|3.012|0.9456
Hampstead Heath|TQ270863|England|44|1977|2023|UKBMS|51.5613|-0.1693|0.336|-3.543|0.8552
Loch Garten|NH971165|Scotland|42|1977|2023|UKBMS|57.2276|-3.7060|-1.208|2.492|0.5349
Nagshead|SO601090|England|40|1977|2023|UKBMS|51.7782|-2.5797|-2.623|0.906|0.8092
Insh Marshes|NH814018|Scotland|45|1977|2023|UKBMS|57.0919|-3.9589|2.824|3.867|0.3989
